county_name,county_code,state_abb,income_quartile,life_exp,pct_uninsured,poverty_rate,pct_religious,pct_black,pct_hispanic,unemployment_rate,median_hh_inc,is_urban,pop,pop_density,pct_smoke,pct_obese,pct_exercise
Elmore,1051,AL,1,78.0751724105834,0.1429589,0.1024389,0.4651911,0.2050126,0.0122203,0.0386334,31.15606,1,65874,106.0336,0.3913043,0.3134328,0.48571429
Elmore,1051,AL,4,85.0605363100287,0.1429589,0.1024389,0.4651911,0.2050126,0.0122203,0.0386334,31.15606,1,65874,106.0336,0.1724138,0.1272727,0.75862068
Escambia,1053,AL,1,77.7849628389628,0.1947329,0.2086959,0.5305931,0.3069459,0.009859521,0.055974,26.02419,0,38440,40.57494,0.2777778,0.4411765,0.5
Escambia,1053,AL,4,82.693329159954,0.1947329,0.2086959,0.5305931,0.3069459,0.009859521,0.055974,26.02419,0,38440,40.57494,0.2142857,0.1538462,0.71428573
Etowah,1055,AL,1,77.3694333381678,0.1833494,0.1569798,0.6831209,0.1461448,0.01704057,0.0600306,31.5767,1,103459,193.4455,0.3357143,0.2846715,0.5244565
Etowah,1055,AL,4,85.5082370900592,0.1833494,0.1569798,0.6831209,0.1461448,0.01704057,0.0600306,31.5767,1,103459,193.4455,0.1445783,0.2278481,0.81481481
Franklin,1059,AL,1,77.7784390732739,0.2320653,0.1888521,0.6459341,0.04186017,0.07417609,0.0695541,27.61174,1,31223,49.1202,0.3142857,0.2857143,0.45714286
Franklin,1059,AL,4,85.0368883761056,0.2320653,0.1888521,0.6459341,0.04186017,0.07417609,0.0695541,27.61174,1,31223,49.1202,0,0.4,0.83333331
Geneva,1061,AL,1,79.67515576213,0.1972452,0.1961859,0.6576231,0.1057677,0.01758267,0.0583924,27.74829,1,25764,44.7074,0.2727273,0.483871,0.38235295
Geneva,1061,AL,4,83.1697969897861,0.1972452,0.1961859,0.6576231,0.1057677,0.01758267,0.0583924,27.74829,1,25764,44.7074,0,0.5555556,0.66666669
Houston,1069,AL,1,78.8486711432378,0.1668623,0.1499897,0.6782412,0.2444389,0.01263698,0.0390972,35.26285,1,88787,152.9861,0.2830189,0.3653846,0.55445546
Houston,1069,AL,4,84.9013377886129,0.1668623,0.1499897,0.6782412,0.2444389,0.01263698,0.0390972,35.26285,1,88787,152.9861,0.0625,0.2795699,0.78021979
Jackson,1071,AL,1,78.295466675867,0.1864322,0.1367446,0.4758187,0.03712495,0.0113118,0.0595902,29.4989,1,53926,49.98964,0.4,0.3846154,0.5
Jackson,1071,AL,4,84.5486122607587,0.1864322,0.1367446,0.4758187,0.03712495,0.0113118,0.0595902,29.4989,1,53926,49.98964,0.25,0.2857143,0.875
Jefferson,1073,AL,1,77.3665451210264,0.1614558,0.1477299,0.601273,0.3921519,0.01553364,0.0394048,38.58414,1,662047,595.0411,0.2739872,0.3191257,0.56505805
Jefferson,1073,AL,4,85.8748249530443,0.1614558,0.1477299,0.601273,0.3921519,0.01553364,0.0394048,38.58414,1,662047,595.0411,0.1327751,0.1863581,0.85567009
Lauderdale,1077,AL,1,78.2653978416975,0.1523257,0.1442567,0.5663325,0.09803787,0.01016302,0.0597039,34.22301,1,87966,131.3983,0.282353,0.264,0.58064514
Lauderdale,1077,AL,4,85.4406838125339,0.1523257,0.1442567,0.5663325,0.09803787,0.01016302,0.0597039,34.22301,1,87966,131.3983,0.1084337,0.2098765,0.83783782
Lawrence,1079,AL,1,78.1403522295058,0.190486,0.152513,0.5201276,0.132546,0.01054507,0.0542017,30.49107,1,34803,50.19308,0.4090909,0.2857143,0.63636363
Lawrence,1079,AL,4,86.1294488908115,0.190486,0.152513,0.5201276,0.132546,0.01054507,0.0542017,30.49107,1,34803,50.19308,0.1428571,0.1428571,0.85714287
Lee,1081,AL,1,78.1506722300059,0.1578185,0.2181195,0.3458711,0.2255066,0.01429291,0.0373916,28.5754,1,115092,189.0751,0.2821428,0.2527076,0.66799998
Lee,1081,AL,4,86.7765029477466,0.1578185,0.2181195,0.3458711,0.2255066,0.01429291,0.0373916,28.5754,1,115092,189.0751,0.127451,0.1862745,0.88235295
Limestone,1083,AL,1,77.8684145547051,0.1669577,0.1234609,0.5299348,0.1325142,0.0264937,0.0396629,31.87798,1,65676,115.6167,0.2580645,0.2580645,0.41935483
Limestone,1083,AL,4,85.0845928556279,0.1669577,0.1234609,0.5299348,0.1325142,0.0264937,0.0396629,31.87798,1,65676,115.6167,0.08,0.16,0.80000001
Madison,1089,AL,1,77.3808018211839,0.1413733,0.1054511,0.5522371,0.226245,0.01888688,0.0350733,41.28333,1,276700,343.7597,0.2782258,0.3022774,0.61784899
Madison,1089,AL,4,85.925554177162,0.1413733,0.1054511,0.5522371,0.226245,0.01888688,0.0350733,41.28333,1,276700,343.7597,0.1272727,0.2104167,0.84934497
Marion,1093,AL,1,79.4120467094035,0.1728867,0.156376,0.5956942,0.03623374,0.01153329,0.0791622,28.46576,1,31214,42.10059,0.3333333,0.2978723,0.47916666
Marion,1093,AL,4,81.041497861957,0.1728867,0.156376,0.5956942,0.03623374,0.01153329,0.0791622,28.46576,1,31214,42.10059,0.0769231,0.2307692,0.76923078
Marshall,1095,AL,1,77.7176193569623,0.2149346,0.1466165,0.6526736,0.01452007,0.05662098,0.0503851,32.00778,1,82231,145.0129,0.3410138,0.2325581,0.51141554
Marshall,1095,AL,4,83.8909337637096,0.2149346,0.1466165,0.6526736,0.01452007,0.05662098,0.0503851,32.00778,1,82231,145.0129,0.21875,0.2096774,0.8125
Mobile,1097,AL,1,78.2298618112361,0.1864541,0.1850726,0.5325365,0.3322429,0.0122223,0.0512988,32.25813,1,399843,324.2608,0.2883387,0.3325163,0.56182796
Mobile,1097,AL,4,85.3346092075934,0.1864541,0.1850726,0.5325365,0.3322429,0.0122223,0.0512988,32.25813,1,399843,324.2608,0.1498708,0.2156334,0.82271469
Montgomery,1101,AL,1,77.2075848463031,0.1583644,0.1734008,0.5057716,0.4838531,0.0119234,0.0412751,34.83421,1,223510,283.0089,0.2401316,0.3611584,0.56307131
Montgomery,1101,AL,4,86.0023724730831,0.1583644,0.1734008,0.5057716,0.4838531,0.0119234,0.0412751,34.83421,1,223510,283.0089,0.1569231,0.2594937,0.8237288
Morgan,1103,AL,1,77.6724432547342,0.1893866,0.1229125,0.5865537,0.1114943,0.03281891,0.0466636,35.1597,1,111064,190.7616,0.3651685,0.3257143,0.59006214
Morgan,1103,AL,4,84.3134177294949,0.1893866,0.1229125,0.5865537,0.1114943,0.03281891,0.0466636,35.1597,1,111064,190.7616,0.2087912,0.2777778,0.85882354
Pike,1109,AL,1,78.3685453137776,0.1764356,0.2306665,0.4968418,0.3636548,0.012329,0.0484391,26.83485,0,29605,44.11852,0.2,0.325,0.40000001
Pike,1109,AL,4,86.3478388613776,0.1764356,0.2306665,0.4968418,0.3636548,0.012329,0.0484391,26.83485,0,29605,44.11852,0.1,0.3,1
Russell,1113,AL,1,76.8890828557672,0.1742368,0.1990276,0.4683254,0.4063229,0.01495297,0.0503464,26.29246,1,49756,77.58408,0.1714286,0.4411765,0.5714286
Russell,1113,AL,4,83.6070192072732,0.1742368,0.1990276,0.4683254,0.4063229,0.01495297,0.0503464,26.29246,1,49756,77.58408,0.25,0.25,1
St Clair,1115,AL,1,77.3359627512169,0.152267,0.1207624,0.5005561,0.08113744,0.0105959,0.0381369,32.11936,1,64742,102.1566,0.4059406,0.3645833,0.61386138
St Clair,1115,AL,4,82.8794827865734,0.152267,0.1207624,0.5005561,0.08113744,0.0105959,0.0381369,32.11936,1,64742,102.1566,0.1304348,0.3428572,0.8142857
Shelby,1117,AL,1,78.6148533540033,0.122728,0.0631362,0.4562191,0.07376494,0.02030804,0.0265401,47.77416,1,143293,180.3121,0.2878049,0.275,0.61081082
Shelby,1117,AL,4,86.4141465669699,0.122728,0.0631362,0.4562191,0.07376494,0.02030804,0.0265401,47.77416,1,143293,180.3121,0.1386364,0.1847575,0.86585367
Talladega,1121,AL,1,77.6094315849647,0.1621582,0.1761475,0.501052,0.3138158,0.01010944,0.0597552,29.03136,0,80321,108.6106,0.3387097,0.3900415,0.51739132
Talladega,1121,AL,4,85.2477345219014,0.1621582,0.1761475,0.501052,0.3138158,0.01010944,0.0597552,29.03136,0,80321,108.6106,0.137931,0.2413793,0.90566039
Tallapoosa,1123,AL,1,78.7063845647329,0.1726984,0.1655892,0.5804702,0.2528752,0.005834841,0.054068,32.64059,0,41475,57.77002,0.375,0.3518519,0.66071427
Tallapoosa,1123,AL,4,86.4787985967948,0.1726984,0.1655892,0.5804702,0.2528752,0.005834841,0.054068,32.64059,0,41475,57.77002,0.1875,0.4375,0.5
Tuscaloosa,1125,AL,1,77.6182063962123,0.1749998,0.1702105,0.5082942,0.2919484,0.01291888,0.0381489,32.62028,1,164875,124.4931,0.2595674,0.3292894,0.58532113
Tuscaloosa,1125,AL,4,85.2370895938629,0.1749998,0.1702105,0.5082942,0.2919484,0.01291888,0.0381489,32.62028,1,164875,124.4931,0.1189711,0.2119205,0.80067569
Walker,1127,AL,1,77.0935530698797,0.1669434,0.1649873,0.6171284,0.06113445,0.008583995,0.054624,28.75669,1,70713,89.01534,0.3560975,0.3869347,0.51219511
Walker,1127,AL,4,84.1703524303142,0.1669434,0.1649873,0.6171284,0.06113445,0.008583995,0.054624,28.75669,1,70713,89.01534,0.2115385,0.244898,0.70588237
Apache,4001,AZ,1,82.1369187803031,0.2136362,0.3782032,0.498682,0.002347925,0.04492747,0.0938842,18.46869,0,69423,6.195783,0.1771772,0.334375,0.62462461
Apache,4001,AZ,4,83.7978978236519,0.2136362,0.3782032,0.498682,0.002347925,0.04492747,0.0938842,18.46869,0,69423,6.195783,0.1052632,0.2368421,0.76623374
Cochise,4003,AZ,1,80.5238020903086,0.1709904,0.1767456,0.4076855,0.04298756,0.3068575,0.0483481,29.92049,1,117755,19.0868,0.2732984,0.2524807,0.65806454
Cochise,4003,AZ,4,86.5951801299319,0.1709904,0.1767456,0.4076855,0.04298756,0.3068575,0.0483481,29.92049,1,117755,19.0868,0.1471322,0.2061856,0.85964912
Coconino,4005,AZ,1,81.5585330984857,0.2136078,0.182258,0.3089065,0.00988652,0.1094137,0.0467136,29.98633,1,116320,6.247911,0.2452276,0.1918429,0.73076922
Coconino,4005,AZ,4,87.3962863576959,0.2136078,0.182258,0.3089065,0.00988652,0.1094137,0.0467136,29.98633,1,116320,6.247911,0.0677966,0.1658416,0.90441179
Gila,4007,AZ,1,79.1982631581961,0.1953568,0.1741172,0.4399922,0.0033895,0.1664751,0.0577122,33.45461,1,51335,10.76724,0.2775331,0.3257919,0.61946905
Gila,4007,AZ,4,83.9678480348751,0.1953568,0.1741172,0.4399922,0.0033895,0.1664751,0.0577122,33.45461,1,51335,10.76724,0.0821918,0.2253521,0.86301368
Graham,4009,AZ,1,79.3802646292479,0.1856009,0.229879,0.6708173,0.01797605,0.2703574,0.0623893,21.86697,0,33489,7.234116,0.2229299,0.3506494,0.6433121
Graham,4009,AZ,4,87.4847195154983,0.1856009,0.229879,0.6708173,0.01797605,0.2703574,0.0623893,21.86697,0,33489,7.234116,0.0793651,0.1803279,0.84126985
Maricopa,4013,AZ,1,80.1011796582545,0.1917126,0.1174869,0.3973144,0.03532413,0.2484714,0.0414625,41.32864,1,3072149,333.8155,0.2228826,0.2106918,0.57788163
Maricopa,4013,AZ,4,86.3692383276662,0.1917126,0.1174869,0.3973144,0.03532413,0.2484714,0.0414625,41.32864,1,3072149,333.8155,0.1232044,0.1903955,0.89632106
Mohave,4015,AZ,1,77.0648711201307,0.2035176,0.1388457,0.2799745,0.005076371,0.1108287,0.0477989,33.90959,1,155032,11.64635,0.3441637,0.2438119,0.60025382
Mohave,4015,AZ,4,83.951355469643,0.2035176,0.1388457,0.2799745,0.005076371,0.1108287,0.0477989,33.90959,1,155032,11.64635,0.1943128,0.2392344,0.83490568
Navajo,4017,AZ,1,80.5672894569574,0.1938585,0.2950444,0.3924182,0.008146096,0.08218939,0.0757138,23.33927,0,97470,9.79285,0.2201681,0.2633391,0.6423611
Navajo,4017,AZ,4,85.1410073743607,0.1938585,0.2950444,0.3924182,0.008146096,0.08218939,0.0757138,23.33927,0,97470,9.79285,0.1209302,0.1745283,0.82629108
Pima,4019,AZ,1,80.3527956176717,0.1820142,0.1466397,0.4487737,0.02850028,0.2934272,0.0432998,36.69814,1,843746,91.84865,0.2257454,0.239034,0.64381522
Pima,4019,AZ,4,86.8420410683509,0.1820142,0.1466397,0.4487737,0.02850028,0.2934272,0.0432998,36.69814,1,843746,91.84865,0.1237288,0.151778,0.89258313
Pinal,4021,AZ,1,78.5059030414687,0.1929601,0.1690881,0.3219049,0.02591708,0.2986251,0.0535817,29.96363,1,179727,33.47124,0.2199313,0.3353151,0.58147717
Pinal,4021,AZ,4,84.4891169336108,0.1929601,0.1690881,0.3219049,0.02591708,0.2986251,0.0535817,29.96363,1,179727,33.47124,0.1296296,0.2164384,0.83018869
Santa Cruz,4023,AZ,1,82.3064592525569,0.2390168,0.2448253,0.6606133,0.001954092,0.8078216,0.0868954,27.00764,1,38381,31.01159,0.1736334,0.272619,0.64034152
Santa Cruz,4023,AZ,4,86.3196849498143,0.2390168,0.2448253,0.6606133,0.001954092,0.8078216,0.0868954,27.00764,1,38381,31.01159,0.1204819,0.2459016,0.88755018
Yavapai,4025,AZ,1,80.5502406006166,0.199604,0.119465,0.297337,0.003516061,0.09775724,0.0442322,39.29991,1,167517,20.62179,0.2635229,0.1869565,0.63768119
Yavapai,4025,AZ,4,86.5015007311422,0.199604,0.119465,0.297337,0.003516061,0.09775724,0.0442322,39.29991,1,167517,20.62179,0.1392857,0.1176471,0.91666669
Yuma,4027,AZ,1,81.1890452965203,0.2390819,0.1923488,0.3612288,0.01959682,0.504743,0.1652333,30.31506,1,160026,29.02129,0.1677074,0.3173828,0.60054594
Yuma,4027,AZ,4,84.5302579336467,0.2390819,0.1923488,0.3612288,0.01959682,0.504743,0.1652333,30.31506,1,160026,29.02129,0.1320755,0.2888889,0.87262875
Baxter,5005,AR,1,78.5442434132789,0.221696,0.1114596,0.5143281,0.001094149,0.0100297,0.0522598,35.63288,0,38386,69.24364,0.3071161,0.2576923,0.65200001
Baxter,5005,AR,4,85.3934918217795,0.221696,0.1114596,0.5143281,0.001094149,0.0100297,0.0522598,35.63288,0,38386,69.24364,0.0847458,0.2666667,0.89655173
Benton,5007,AR,1,78.6505689272541,0.1943136,0.1007096,0.5377951,0.003637407,0.0877997,0.0283965,37.36453,1,153406,181.3323,0.3125972,0.2641815,0.59390861
Benton,5007,AR,4,84.8325883484315,0.1943136,0.1007096,0.5377951,0.003637407,0.0877997,0.0283965,37.36453,1,153406,181.3323,0.1452992,0.2144112,0.86619717
Boone,5009,AR,1,80.1583298415998,0.2130869,0.1478138,0.5472487,0.001148816,0.01060445,0.0497687,30.95128,0,33948,57.42443,0.2526882,0.2960894,0.50292397
Boone,5009,AR,4,85.2253094021102,0.2130869,0.1478138,0.5472487,0.001148816,0.01060445,0.0497687,30.95128,0,33948,57.42443,0.047619,0.2063492,0.83050847
Carroll,5015,AR,1,80.2098254498398,0.2908332,0.1548879,0.436487,0.000985921,0.09744843,0.0392081,30.76163,0,25357,40.23169,0.4044944,0.2727273,0.63218391
Carroll,5015,AR,4,87.0036695331583,0.2908332,0.1548879,0.436487,0.000985921,0.09744843,0.0392081,30.76163,0,25357,40.23169,0.1923077,0.2307692,0.80769229
Columbia,5027,AR,1,76.7359869409994,0.1889169,0.2112302,0.6415655,0.3595282,0.01050658,0.0497007,29.37681,0,25603,33.41931,0.25,0.3953488,0.60000002
Columbia,5027,AR,4,84.3499225149445,0.1889169,0.2112302,0.6415655,0.3595282,0.01050658,0.0497007,29.37681,0,25603,33.41931,0.1071429,0.3076923,0.8214286
Craighead,5031,AR,1,77.7145944048663,0.2071753,0.1540029,0.6465526,0.07723864,0.02116911,0.0443758,30.38797,1,82148,115.5648,0.3389423,0.2967581,0.55890411
Craighead,5031,AR,4,86.5702829552239,0.2071753,0.1540029,0.6465526,0.07723864,0.02116911,0.0443758,30.38797,1,82148,115.5648,0.09375,0.1889401,0.85781991
Crawford,5033,AR,1,79.1220501676282,0.2306451,0.1421478,0.5293256,0.008695326,0.03273424,0.0395362,28.12096,1,53247,89.43172,0.3220339,0.2565217,0.5324074
Crawford,5033,AR,4,85.6487443554656,0.2306451,0.1421478,0.5293256,0.008695326,0.03273424,0.0395362,28.12096,1,53247,89.43172,0.1264368,0.202381,0.89285713
Crittenden,5035,AR,1,76.3732788376272,0.1863375,0.2533496,0.4167224,0.4684465,0.01415484,0.0498299,27.74393,1,50866,83.36418,0.315,0.4072165,0.54000002
Crittenden,5035,AR,4,84.5766923725147,0.1863375,0.2533496,0.4167224,0.4684465,0.01415484,0.0498299,27.74393,1,50866,83.36418,0.1590909,0.2183908,0.82954544
Faulkner,5045,AR,1,78.0957245932389,0.1786296,0.1254781,0.5653033,0.08441649,0.01754365,0.0430845,31.47023,1,86014,132.8651,0.2470588,0.2878788,0.58860761
Faulkner,5045,AR,4,85.796654250019,0.1786296,0.1254781,0.5653033,0.08441649,0.01754365,0.0430845,31.47023,1,86014,132.8651,0.0896057,0.2197802,0.87132353
Garland,5051,AR,1,77.7731344683505,0.2317249,0.1458266,0.5970386,0.07754236,0.02559386,0.0458781,37.2132,1,88068,130.0429,0.3283019,0.2674419,0.61571127
Garland,5051,AR,4,85.9030269422911,0.2317249,0.1458266,0.5970386,0.07754236,0.02559386,0.0458781,37.2132,1,88068,130.0429,0.1359223,0.2107843,0.82631576
Greene,5055,AR,1,76.9770835992756,0.1964961,0.1331608,0.6146902,0.001285795,0.01162573,0.0670426,30.77204,1,37331,64.64141,0.2888889,0.3153846,0.51851851
Greene,5055,AR,4,87.0289486611705,0.1964961,0.1331608,0.6146902,0.001285795,0.01162573,0.0670426,30.77204,1,37331,64.64141,0.125,0.3191489,0.875
Hot Spring,5059,AR,1,77.9865835614151,0.1968582,0.1402402,0.5847857,0.1023622,0.01265114,0.0497834,29.27379,1,30353,49.35986,0.2786885,0.302521,0.53658539
Hot Spring,5059,AR,4,87.357593326762,0.1968582,0.1402402,0.5847857,0.1023622,0.01265114,0.0497834,29.27379,1,30353,49.35986,0.1136364,0.3181818,0.77777779
Independence,5063,AR,1,78.1503771073844,0.201544,0.1295851,0.6436187,0.02000993,0.01527766,0.0525724,30.1743,0,34233,44.82044,0.2710843,0.2375,0.56024098
Independence,5063,AR,4,86.5688153383289,0.201544,0.1295851,0.6436187,0.02000993,0.01527766,0.0525724,30.1743,0,34233,44.82044,0.0784314,0.26,0.74509805
Jefferson,5069,AR,1,76.9303992989205,0.1753915,0.2053066,0.4780607,0.4938774,0.009611049,0.0655747,28.18101,1,84278,95.24924,0.2766497,0.3624679,0.57692307
Jefferson,5069,AR,4,85.3247724960013,0.1753915,0.2053066,0.4780607,0.4938774,0.009611049,0.0655747,28.18101,1,84278,95.24924,0.147929,0.2901235,0.81875002
Lonoke,5085,AR,1,76.7269323487342,0.176079,0.1053621,0.5707011,0.0642273,0.01745287,0.0366208,32.15227,1,52828,68.9696,0.3835616,0.294964,0.58620691
Lonoke,5085,AR,4,85.5378368182378,0.176079,0.1053621,0.5707011,0.0642273,0.01745287,0.0366208,32.15227,1,52828,68.9696,0.0882353,0.25,0.81751823
Miller,5091,AR,1,78.2192811998787,0.1958036,0.1929589,0.6408526,0.2287169,0.01584947,0.0434323,31.06648,1,40443,64.81468,0.3022222,0.3881279,0.55980861
Miller,5091,AR,4,85.9611709190728,0.1958036,0.1929589,0.6408526,0.2287169,0.01584947,0.0434323,31.06648,1,40443,64.81468,0.1408451,0.2285714,0.80597013
Mississippi,5093,AR,1,75.9937123248491,0.1792766,0.2301155,0.6334866,0.3253045,0.02248985,0.1064062,27.08645,0,51979,57.86707,0.3333333,0.3522727,0.45643154
Mississippi,5093,AR,4,85.8064712656547,0.1792766,0.2301155,0.6334866,0.3253045,0.02248985,0.1064062,27.08645,0,51979,57.86707,0.0517241,0.2692308,0.64912283
Ouachita,5103,AR,1,76.2129316174683,0.1879959,0.1952187,0.6264328,0.3849948,0.007294199,0.0703882,30.01319,0,28790,39.30641,0.2385321,0.3883495,0.56481481
Ouachita,5103,AR,4,85.7474855693152,0.1879959,0.1952187,0.6264328,0.3849948,0.007294199,0.0703882,30.01319,0,28790,39.30641,0.0882353,0.3,0.7647059
Phillips,5107,AR,1,76.3786250920245,0.1702422,0.3271425,0.4335413,0.5859331,0.01444507,0.0739358,25.32771,1,26445,38.17826,0.2692308,0.5384616,0.41509435
Phillips,5107,AR,4,80.5752941862609,0.1702422,0.3271425,0.4335413,0.5859331,0.01444507,0.0739358,25.32771,1,26445,38.17826,0.15,0.2,0.66666669
Poinsett,5111,AR,1,76.6074852287731,0.2018385,0.2121573,0.6822831,0.07085968,0.01428906,0.0693166,24.82802,1,25614,33.80321,0.2978723,0.3555556,0.31914893
Poinsett,5111,AR,4,82.3142909345093,0.2018385,0.2121573,0.6822831,0.07085968,0.01428906,0.0693166,24.82802,1,25614,33.80321,0.0714286,0.2142857,0.71428573
Pope,5115,AR,1,78.4532420460342,0.2006611,0.1518968,0.5073528,0.02575777,0.02061723,0.0420533,29.30246,0,54469,67.08828,0.3407407,0.3023256,0.65313655
Pope,5115,AR,4,85.173389533189,0.2006611,0.1518968,0.5073528,0.02575777,0.02061723,0.0420533,29.30246,0,54469,67.08828,0.1764706,0.2368421,0.84033614
Pulaski,5119,AR,1,76.9837216936248,0.1828574,0.1332257,0.5914174,0.3174004,0.02438903,0.0408567,38.5497,1,361474,468.9468,0.2870249,0.2949932,0.58708709
Pulaski,5119,AR,4,86.3391825918389,0.1828574,0.1332257,0.5914174,0.3174004,0.02438903,0.0408567,38.5497,1,361474,468.9468,0.1122137,0.1773819,0.85957789
St Francis,5123,AR,1,76.9880839576768,0.1868628,0.2748735,0.4507825,0.4866515,0.0487913,0.0742991,23.15296,1,29329,46.27219,0.3125,0.4042553,0.3125
St Francis,5123,AR,4,84.2078316900014,0.1868628,0.2748735,0.4507825,0.4866515,0.0487913,0.0742991,23.15296,1,29329,46.27219,0,0.3333333,0.5
Saline,5125,AR,1,77.667008721612,0.1644583,0.0717934,0.4981743,0.02171701,0.01304936,0.035126,35.33493,1,83529,115.4574,0.3422819,0.2638889,0.59498209
